space_id,type,model,vendor,power_watts,heat_load_btuh,mounting,serial_number,notes
1,ACCESS_POINT,WAX630,NETGEAR,25.50,87.00,CEILING,SN-WAX630-001,Primary AP for server room corridor
1,SWITCH,SG350-28,CISCO,65.00,221.80,RACK,SN-SG350-001,24-port PoE switch in server rack
1,ROUTER,RB4011,MIKROTIK,33.00,112.60,RACK,SN-RB4011-001,Core router MDF
1,UPS,Smart-UPS1500,APC,1500.00,0.00,RACK,SN-UPS1500-001,1500VA UPS for server rack
1,ONT,G-240W-B,HUAWEI,12.00,40.96,WALL,SN-ONT-G240-001,GPON ONT - ISP handoff point
2,SWITCH,SG250-10P,CISCO,53.50,182.60,RACK,SN-SG250-001,IDF switch - feeds floor 1 APs
2,ACCESS_POINT,WAX610,NETGEAR,22.00,75.08,CEILING,SN-WAX610-001,AP for corridor A coverage
3,ACCESS_POINT,WAX630,NETGEAR,25.50,87.00,CEILING,SN-WAX630-002,AP covering lobby - high density
3,ACCESS_POINT,WAX610,NETGEAR,22.00,75.08,WALL,SN-WAX610-002,Secondary AP near gym entrance
7,ACCESS_POINT,WAX610,NETGEAR,22.00,75.08,CEILING,SN-WAX610-003,Gym AP - high concurrent users
13,SWITCH,SG250-10P,CISCO,53.50,182.60,RACK,SN-SG250-002,Second floor IDF switch
13,ACCESS_POINT,WAX630,NETGEAR,25.50,87.00,CEILING,SN-WAX630-003,Floor 2 corridor AP
18,SWITCH,CRS326,MIKROTIK,26.00,88.74,RACK,SN-CRS326-001,MDF top floor aggregation switch
18,ONT,G-240W-B,HUAWEI,12.00,40.96,WALL,SN-ONT-G240-002,Backup ONT - redundant uplink
